InstanceID,N,K,B,OptimalMakespan,LS_MaxGroupSum,LS_Time(us),LPT_MaxGroupSum,LPT_Time(us),MULTIFIT_MaxGroupSum,MULTIFIT_Time(us)
269,42,4,20,12945,16002,27,12945,32,12945,0
270,41,4,20,8830,12152,26,8830,31,8830,0
271,25,8,8,10,14,23,10,24,10,0
272,27,8,8,12,15,23,12,25,12,0
273,23,8,8,17,23,19,17,23,17,0
274,24,8,8,17,23,20,18,24,18,0
275,26,8,8,16,21,22,16,25,16,0
276,30,8,8,20,25,25,20,29,20,0
277,16,8,8,13,20,14,13,17,13,0
278,22,8,8,11,17,19,12,21,12,0
279,28,8,8,15,21,23,15,26,15,0
280,22,8,8,12,17,18,12,21,12,0
281,21,8,8,10,16,18,10,20,10,0
282,22,8,8,12,20,19,12,22,12,0
283,20,8,8,12,15,17,12,20,12,0
284,28,8,8,20,26,22,20,28,20,0
285,23,8,8,12,17,19,12,24,12,0
286,31,8,8,16,21,24,16,30,16,0
287,31,8,8,17,26,26,17,45,17,0
288,29,8,8,18,29,24,18,28,18,0
289,20,8,8,10,14,17,10,19,10,0
290,29,8,8,13,19,23,13,27,13,0
291,21,8,8,19,25,19,19,20,19,0
292,24,8,8,10,13,20,10,24,10,0
293,28,8,8,16,23,23,16,26,16,0
294,31,8,8,19,24,26,19,29,19,0
295,27,8,8,19,30,23,19,27,19,0
296,26,8,8,18,25,21,18,37,18,0
297,19,8,8,11,15,17,11,20,11,0
298,22,8,8,13,18,19,13,22,13,0
299,26,8,8,14,20,24,14,27,14,0
300,25,8,8,17,23,21,17,26,17,0
301,38,8,16,42,57,30,42,39,42,0
302,62,8,16,740,1023,46,740,54,740,0
303,31,8,16,65,89,26,65,82,65,0
304,47,8,16,197,250,36,198,44,198,0
305,50,8,16,720,851,40,723,46,723,0
306,57,8,16,606,842,42,606,51,606,0
307,50,8,16,444,621,40,444,45,444,0
308,53,8,16,361,459,42,361,52,361,0
309,44,8,16,195,235,35,195,41,195,0
310,61,8,16,704,1045,48,704,56,704,0
311,50,8,16,269,349,40,269,46,269,0
312,54,8,16,678,880,41,678,51,678,0
313,26,8,16,35,51,23,35,25,35,0
314,41,8,16,83,122,32,83,66,83,0
315,44,8,16,74,94,34,74,40,74,0
316,54,8,16,366,496,41,366,51,366,0
317,70,8,16,807,1020,52,807,63,807,0
318,59,8,16,797,1213,46,797,52,797,0
319,44,8,16,385,552,35,385,43,385,0
320,46,8,16,99,140,35,99,42,99,0
321,66,8,16,818,1146,50,818,59,818,0
322,41,8,16,125,202,33,125,39,125,0
323,45,8,16,161,250,36,161,42,161,0
324,50,8,16,591,803,40,591,48,591,0
325,51,8,16,275,418,39,275,70,275,0
326,56,8,16,236,268,43,236,51,236,0
327,28,8,16,20,29,23,20,29,20,0
328,55,8,16,298,431,42,299,52,299,0
329,64,8,16,698,967,49,698,60,698,0
330,52,8,16,487,636,40,487,46,487,0
331,87,8,20,9693,12057,63,9693,79,9693,0
332,74,8,20,9707,12301,57,9734,66,9734,0
333,82,8,20,9182,12388,61,9182,74,9182,0
334,82,8,20,11326,13087,59,11326,86,11326,0
335,73,8,20,6032,8625,55,6032,67,6032,0
336,79,8,20,6945,10544,58,6945,70,6945,0
337,65,8,20,4273,5968,49,4274,115,4274,0
338,68,8,20,3473,5262,52,3473,66,3473,0
339,77,8,20,8648,11618,57,8648,73,8648,0
340,80,8,20,11903,18333,60,11903,72,11903,0
341,72,8,20,1925,2627,54,1925,68,1925,0
342,64,8,20,12627,21901,76,12627,61,12627,0
343,70,8,20,3748,4831,52,3748,62,3748,0
344,67,8,20,8551,13464,53,8551,60,8551,0
345,74,8,20,8512,12596,55,8512,65,8512,0
346,74,8,20,7796,10478,56,7796,69,7796,0
347,76,8,20,4223,6826,55,4223,66,4223,0
348,67,8,20,9105,9977,51,9105,61,9105,0
349,61,8,20,1339,2162,47,1339,56,1339,0
350,68,8,20,4263,4898,52,4263,89,4263,0
351,93,8,20,13020,15585,70,13020,82,13020,0
352,94,8,20,8491,13802,69,8491,84,8491,0
353,68,8,20,10220,16945,52,10221,65,10221,0
354,78,8,20,6973,9530,57,6973,73,6973,0
355,61,8,20,6522,9002,47,6596,55,6596,0
356,80,8,20,8767,13033,59,8767,70,8767,0
357,92,8,20,11669,14323,67,11669,104,11669,0
358,81,8,20,3551,5469,61,3551,76,3551,0
359,56,8,20,1562,1710,44,1562,51,1562,0
360,81,8,20,12982,18515,59,12982,72,12982,0
361,7,2,8,28,29,6,29,5,29,0
362,8,2,8,24,24,5,24,6,24,0
363,9,2,8,23,24,6,23,6,23,0
364,7,2,8,26,26,5,26,5,26,0
365,8,2,8,20,20,5,20,6,20,0
366,6,2,8,28,28,5,28,5,28,0
367,7,2,8,26,27,5,26,5,26,0
368,7,2,8,30,31,5,30,5,30,0
369,8,2,8,27,27,5,27,6,27,0
370,7,2,8,21,25,5,21,5,21,0
371,6,2,8,22,23,9584,22,14,22,0
372,5,2,8,30,31,4,30,4,30,0
373,5,2,8,26,26,4,26,4,26,0
374,8,2,8,22,23,6,22,7,22,0
375,6,2,8,20,21,4,21,5,21,0
376,8,2,8,30,39,6,30,6,30,0
377,8,2,8,23,26,6,23,6,23,0
378,6,2,8,20,20,4,20,5,20,0
379,7,2,8,30,30,5,30,5,30,0
380,15,2,8,26,28,9,26,10,26,0
381,8,2,8,23,23,5,23,6,23,0
382,5,2,8,25,27,3,25,4,25,0
383,5,2,8,23,24,4,23,4,23,0
384,7,2,8,20,23,5,20,5,20,0
385,5,2,8,20,20,3,20,4,20,0
386,4,2,8,25,32,3,25,3,25,0
387,9,2,8,27,28,6,27,7,27,0
388,4,2,8,20,29,3,20,3,20,0
389,8,2,8,27,27,5,27,6,27,0
390,8,2,8,24,25,5,24,6,24,0
391,17,2,16,2776,2804,10,2778,12,2778,0
392,13,2,16,676,738,8,676,9,676,0
393,12,2,16,2853,2980,7,2854,8,2854,0
394,16,2,16,975,1449,9,975,10,975,0
395,15,2,16,1577,1588,8,1577,10,1577,0
396,12,2,16,456,535,7,457,8,457,0
397,10,2,16,623,627,6,623,7,623,0
398,18,2,16,2913,3199,10,2913,12,2913,0
399,17,2,16,1245,1418,10,1246,12,1246,0
400,12,2,16,418,452,7,419,8,419,0
401,16,2,16,2870,3561,9,2870,10,2870,0
402,17,2,16,1769,1837,9,1769,12,1769,0
403,14,2,16,1023,1289,9,1032,10,1032,0
404,21,2,16,3205,3804,11,3205,14,3205,0
405,15,2,16,2448,2448,8,2454,10,2454,0
406,13,2,16,2890,3665,8,2890,9,2890,0
407,27,2,16,2473,2621,15,2473,17,2473,0
408,16,2,16,2719,3014,9,2719,10,2719,0
