InstanceID,N,K,B,OptimalMakespan,LS_MaxGroupSum,LS_Time(us),LPT_MaxGroupSum,LPT_Time(us),MULTIFIT_MaxGroupSum,MULTIFIT_Time(us)
276,30,8,8,20,25,26,20,29,20,162
277,16,8,8,13,20,15,13,17,13,116
278,22,8,8,11,17,19,12,21,11,125
279,28,8,8,15,21,23,15,25,15,154
280,22,8,8,12,17,19,12,22,12,129
281,21,8,8,10,16,19,10,21,10,127
282,22,8,8,12,20,18,12,22,12,125
283,20,8,8,12,15,18,12,20,12,139
284,28,8,8,20,26,22,20,26,20,203
285,23,8,8,12,17,20,12,22,12,136
286,31,8,8,16,21,25,16,28,16,164
287,31,8,8,17,26,25,17,29,17,184
288,29,8,8,18,29,24,18,27,18,155
289,20,8,8,10,14,17,10,20,10,123
290,29,8,8,13,19,23,13,26,13,156
291,21,8,8,19,25,19,19,21,19,125
292,24,8,8,10,13,20,10,22,10,139
293,28,8,8,16,23,43,16,26,16,154
294,31,8,8,19,24,26,19,29,19,168
295,27,8,8,19,30,23,19,25,19,144
296,26,8,8,18,25,21,18,25,18,141
297,19,8,8,11,15,17,11,19,11,144
298,22,8,8,13,18,19,13,22,13,124
299,26,8,8,14,20,21,14,24,14,138
300,25,8,8,17,23,21,17,24,17,139
301,38,8,16,42,57,30,42,35,42,190
302,62,8,16,740,1023,46,740,53,745,4763
303,31,8,16,65,89,33,65,33,65,485
304,47,8,16,197,250,39,198,81,198,319
305,50,8,16,720,851,38,723,44,725,581
306,57,8,16,606,842,88,606,164,610,1069
307,50,8,16,444,621,130,444,102,447,827
308,53,8,16,361,459,56,361,49,363,347
309,44,8,16,195,235,33,195,40,196,210
310,61,8,16,704,1045,141,704,159,709,290
311,50,8,16,269,349,39,269,44,271,245
312,54,8,16,678,880,40,678,47,683,279
313,26,8,16,35,51,23,35,25,35,147
314,41,8,16,83,122,32,83,37,83,203
315,44,8,16,74,94,34,74,39,74,212
316,54,8,16,366,496,40,366,47,368,275
317,70,8,16,807,1020,51,807,62,813,382
318,59,8,16,797,1213,47,797,51,803,281
319,44,8,16,385,552,34,385,39,388,217
320,46,8,16,99,140,36,99,41,99,216
321,66,8,16,818,1146,47,818,54,824,298
322,41,8,16,125,202,31,125,37,125,206
323,45,8,16,161,250,34,161,39,162,214
324,50,8,16,591,803,37,591,43,595,239
325,51,8,16,275,418,38,275,44,277,234
326,56,8,16,236,268,41,236,48,237,253
327,28,8,16,20,29,23,20,26,20,153
328,55,8,16,298,431,41,299,72,300,449
329,64,8,16,698,967,52,698,55,703,285
